SMILES,logP,tPSA,MW,SweetSpot
Cc1ccc(cc1)c2c(n(c(n2)O)C3CCN(CC3)Cc4ccccc4)C,4.71,41.29,361.2,No
COc1cc(c(cc1C(=O)N[C@H]2CCN(C2)Cc3ccccc3)Cl)N,2.94,67.59,359.1,No
Cc1ccc(cc1)OCCNCCCOc2ccccc2C,3.74,30.49,299.2,No
c1ccc2c(c1)c(c[nH]2)CN3CCN(CC3)c4ccc(cc4)Cl,4.14,22.27,325.1,No
COc1cccc(c1)C(=O)NCCN2CCN(CC2)c3ccccc3OC,2.26,54.04,369.2,Yes
CNC(=O)C(CCN1CCC(CC1)(c2ccc(cc2)Cl)O)(c3ccccc3)c4ccccc4,4.75,52.57,462.2,No
c1cc(ccc1CN2CCN(CC2)c3ccc4c(c3)OCCO4)F,2.92,24.94,328.2,No
CCN(CC)C(=S)SSC(=S)N(CC)CC,3.62,6.48,296.1,No
c1ccc(cc1)N2CCN(CC2)CCCCCc3cnn(c3)c4ccc(cc4)Cl,5.06,24.3,408.2,No
Cc1ccc(cc1)OCCNCCCOc2cccc(c2)C,3.74,30.49,299.2,No
C#Cc1cccc2n1ncc2CN3CCN(CC3)c4ccc(cc4)Cl,3.29,23.78,350.1,No
Cc1c([nH]nc1C2CCN(CC2)CCc3ccccc3)c4ccc(cc4)Cl,5.46,31.92,379.2,No
c1cc(c(cc1CCN)O)O,0.6,66.48,153.1,No
COc1c2ccccc2c(cc1C(=O)N[C@@H]3CCN(C3)Cc4ccccc4)I,4.46,41.57,486.1,No
Cc1c(cn(n1)C2CCN(CC2)Cc3cccc(c3)C#N)c4ccccc4,4.57,44.85,356.2,No
COc1ccccc1N2CCN(CC2)Cc3cc4ccccn4n3,2.67,33.01,322.2,No
COc1ccc(cc1)N2CCN(CC2)Cc3c[nH]c4c3cccn4,2.89,44.39,322.2,Yes
c1ccc2c(c1)nc(s2)C3=CCN(CC3)Cc4ccc(cc4)Cl,5.24,16.13,340.1,No
Cc1c(nc(n1C2CCN(CC2)Cc3ccc(cc3)Cl)O)c4ccccc4,5.05,41.29,381.2,No
COc1cc(c(cc1C(=O)N[C@H]2CCN(C2)Cc3ccccc3)Cl)NC(=O)C=C,3.48,70.67,413.2,No
Cc1cc(c2nc(cn2c1)CN3CCN(CC3)c4ccccc4OC)C#N,2.85,56.8,361.2,Yes
c1cc(c(cc1N2CCN(CC2)Cc3cn4c(n3)ccc(n4)Cl)Cl)Cl,4.01,36.67,395,No
Cc1cccc(c1)C(=O)NCN2CCC(CC2)c3ccccc3OC,3.57,41.57,338.2,No
COc1ccccc1N2CCN(CC2)Cc3cc(c(cc3OCCF)OC)OC,3.38,43.4,404.2,No
COc1ccccc1N2CCN(CC2)CCCCN3CCCc4ccccc4C3=O,3.69,36.02,407.3,No
c1ccc(cc1)SCCCNCCOc2ccc(cc2)Cl,4.49,21.26,321.1,No
c1ccc(c(c1)N2CCN(CC2)Cc3cc4cc(ccc4[nH]3)C#N)Cl,4.02,46.06,350.1,No
c1ccn2cc(nc2c1)CN3CCN(CC3)c4ccc(c(c4)Cl)Cl,3.96,23.78,360.1,No
CCCN(CCNC(=O)/C=C/c1ccc(cc1)F)C2Cc3ccccc3C2,3.83,32.34,366.2,No
CCC(=O)Nc1cc(c(cc1Cl)C(=O)N[C@H]2CCN(C2)Cc3ccccc3)OC,3.7,70.67,415.2,No
c1cc(n2c(c1)c(cn2)CN3CCN(CC3)c4ccc(cc4)Cl)C#N,3.18,47.57,351.1,No
Cc1c(c2cccc(n2n1)C#C)CN3CCN(CC3)c4ccc(cc4)Cl,3.6,23.78,364.1,No
c1ccc(cc1)C2=NCC[C@@H](N2)CN3CCN(CC3)c4ccccc4,2.62,30.87,334.2,No
CCc1c([nH]nc1C2CCN(CC2)Cc3ccccc3)c4ccc(cc4)Cl,5.67,31.92,379.2,No
Cc1ccc(cc1C)N2CCN(CC2)Cc3[nH]c4ccccc4n3,3.5,35.16,320.2,No
CN1CCN(CC1)[C@H]2Cc3ccccc3Sc4c2cc(cc4)Cl,4.34,6.48,344.1,No
COc1ccc2c(c1)oc(=O)c3c2CCN(C3)Cc4ccccc4,3.36,42.68,321.1,No
c1ccc(cc1)CN2CC[C@@H](C2)NC(=O)c3cccc(c3)c4cccs4,4.42,32.34,362.1,No
CN(C)Cc1cc(c-2cccccc12)CN3CCN(CC3)c4ccccc4OC,4.18,18.95,389.2,No
c1ccc(cc1)N2CCN(CC2)CCCOCc3cnn(c3)c4ccc(cc4)Cl,4.25,33.53,410.2,No
c1cc(ccc1CNC[C@H]2CCc3ccc(cc3O2)O)I,3.48,41.49,395,No
c1ccc2c(c1)CCN2C(=O)CN3CCN(CC3)Cc4ccc(cc4)Cl,3.05,26.79,369.2,No
c1ccc(cc1)N2CCN3C[C@@H](CC[C@H]3C2)COc4ccccc4,3.67,15.71,322.2,No
c1ccc(cc1)n2ccc(c2)CN3CCN(CC3)c4ccccn4,3.19,24.3,318.2,No
COc1cc(ccc1OC[C@H]2CN(CCO2)Cc3ccc(cc3)Cl)Cl,4.28,30.93,381.1,No
Cc1c([nH]nc1C2CCN(CC2)Cc3ccccc3)c4ccc(cc4)Cl,5.42,31.92,365.2,No
C[C@H]1CN(CC[C@@H]1NC(=O)c2cc(c(cc2OC)NC)Cl)Cc3ccccc3,4.03,53.6,401.2,No
Cc1cc(c2nc(cn2c1)CN3CCN(CC3)c4ccccc4OC)n5cccn5,3.16,50.83,402.2,No
COc1ccccc1N2CCN(CC2)Cc3cn4c(n3)ccc(n4)Cl,2.71,45.9,357.1,Yes
COc1ccccc1N2CCN(CC2)Cc3cccc(c3)OCCF,3.37,24.94,344.2,No
